Chromosome,Start,Stop,MurphyTiger,MurphyLion,MT1,ML2,ML1,FT3,FT2,FT1,SunDol
chrX,5900000,6000000,0.0009,0.00979,0.00183,0.009940000000000001,0.00998,0.00106,0.001,0.00095,0.01001
chrX,6000000,6100000,0.0011099999999999999,0.0073,0.00148,0.007690000000000001,0.00761,0.00148,0.00109,0.00095,0.00759
chrX,6100000,6200000,0.00079,0.00782,0.0019100000000000002,0.00797,0.00809,0.0015,0.00039,0.00037999999999999997,0.00804
chrX,6200000,6300000,0.00064,0.008709999999999999,0.0005,0.00851,0.008790000000000001,0.00141,0.00064,0.00074,0.0088
chrX,6300000,6400000,0.00101,0.00928,0.00082,0.00928,0.00923,0.00176,0.00114,0.00121,0.00923
chrX,6400000,6500000,0.0008699999999999999,0.00971,0.001,0.00965,0.009309999999999999,0.0012,0.001,0.00074,0.009290000000000001
chrX,6500000,6600000,0.0006900000000000001,0.01108,0.0021100000000000003,0.01096,0.011179999999999999,0.00209,0.00237,0.00202,0.01121
chrX,6600000,6700000,0.00022,0.011770000000000001,0.00185,0.012,0.01185,0.0023,0.00309,0.00252,0.0119
chrX,6700000,6800000,0.00081,0.00982,0.00146,0.00996,0.010020000000000001,0.0014199999999999998,0.00172,0.0014199999999999998,0.010029999999999999
chrX,6800000,6900000,0.00105,0.00596,0.00288,0.00985,0.00979,0.0017399999999999998,0.0019199999999999998,0.0016600000000000002,0.00985
chrX,6900000,7000000,0.00065,0.00757,0.00157,0.009059999999999999,0.008459999999999999,0.0012699999999999999,0.00126,0.00095,0.0084
chrX,7000000,7100000,7e-05,0.00792,0.00106,0.008759999999999999,0.00793,0.00082,0.00133,0.00121,0.007890000000000001
chrX,7100000,7200000,0.0,0.00762,0.0018800000000000002,0.008459999999999999,0.00746,0.0017800000000000001,0.00271,0.00224,0.00745
chrX,7200000,7300000,0.0,0.00827,0.00159,0.008620000000000001,0.0089,0.00201,0.0022600000000000003,0.00182,0.00886
chrX,7300000,7400000,0.0,0.00757,0.0013,0.00788,0.00801,0.00196,0.0007099999999999999,0.00064,0.00799
chrX,7400000,7500000,0.0,0.00688,0.00117,0.007390000000000001,0.00742,0.00175,0.00103,0.00082,0.0074
chrX,7500000,7600000,1e-05,0.00718,0.0005099999999999999,0.00725,0.007370000000000001,0.00037,0.00124,0.00101,0.00735
chrX,7600000,7700000,0.0,0.00662,0.00056,0.00673,0.0071400000000000005,0.00151,0.0016899999999999999,0.0015,0.00713
chrX,7700000,7800000,0.0,0.00647,0.0009599999999999999,0.00685,0.007240000000000001,0.0007700000000000001,0.0005099999999999999,0.00045999999999999996,0.00725
chrX,7800000,7900000,0.0,0.00588,0.00064,0.00596,0.006409999999999999,0.0010199999999999999,0.0011300000000000001,0.00098,0.0064
chrX,7900000,8000000,0.0,0.006940000000000001,0.00086,0.007259999999999999,0.00735,0.00145,0.0016899999999999999,0.0015,0.007379999999999999
chrX,8000000,8100000,0.0,0.00687,0.00099,0.00687,0.00701,0.0008300000000000001,0.0008699999999999999,0.00073,0.006999999999999999
chrX,8100000,8200000,0.0,0.0067599999999999995,0.00072,0.00705,0.00702,0.00075,0.0009199999999999999,0.0007700000000000001,0.006999999999999999
chrX,8200000,8300000,0.0,0.00536,0.00088,0.0056700000000000006,0.00602,0.00029,0.00105,0.00091,0.00602
chrX,8300000,8400000,0.0,0.00632,0.00082,0.0061200000000000004,0.006670000000000001,0.00107,0.00118,0.001,0.006640000000000001
chrX,8400000,8500000,0.0,0.0062,0.00011,0.0059,0.006540000000000001,0.00036,0.00045,0.00039,0.006540000000000001
chrX,8500000,8600000,0.0,0.00589,0.00055,0.0058200000000000005,0.00607,0.0007,0.0014199999999999998,0.00128,0.00605
chrX,8600000,8700000,0.0,0.00566,2e-05,0.00569,0.00598,0.0009199999999999999,0.0009,0.00078,0.00596
chrX,8700000,8800000,1e-05,0.00542,2e-05,0.00541,0.00596,0.00066,0.00045,0.00039,0.0059299999999999995
chrX,8800000,8900000,7e-05,0.00671,5.9999999999999995e-05,0.00643,0.0069,0.00125,0.0009599999999999999,0.0008,0.00689
chrX,8900000,9000000,0.00057,0.00734,0.00063,0.00695,0.00778,0.0009599999999999999,0.00086,0.0006900000000000001,0.0077599999999999995
chrX,9000000,9100000,0.00081,0.006229999999999999,0.00115,0.00624,0.006540000000000001,0.0017,0.00098,0.0008699999999999999,0.006529999999999999
chrX,9100000,9200000,0.00033999999999999997,0.006790000000000001,0.00044,0.00702,0.007259999999999999,0.0005099999999999999,0.00145,0.00123,0.007259999999999999
chrX,9200000,9300000,0.00044,0.0068200000000000005,0.00056,0.00685,0.0072299999999999994,0.00047999999999999996,0.0010199999999999999,0.0009,0.0072299999999999994
chrX,9300000,9400000,0.00014,0.00695,0.00109,0.00707,0.00745,0.00098,0.00115,0.00107,0.00745
chrX,9400000,9500000,0.0,0.007940000000000001,0.0008300000000000001,0.00843,0.00842,0.00156,0.00183,0.00157,0.0084
chrX,9500000,9600000,1e-05,0.0072,0.0006900000000000001,0.007259999999999999,0.007370000000000001,0.0007099999999999999,0.0005099999999999999,0.00039,0.00734
chrX,9600000,9700000,0.00088,0.0079,0.00109,0.00835,0.00813,0.00117,0.0012900000000000001,0.00119,0.0081
chrX,9700000,9800000,0.00043,0.007370000000000001,0.0007099999999999999,0.007940000000000001,0.008029999999999999,0.0007700000000000001,0.00131,0.00107,0.008020000000000001
chrX,9800000,9900000,0.0005200000000000001,0.00731,0.00121,0.00782,0.00787,0.00182,0.00257,0.00223,0.00787
chrX,9900000,10000000,0.0006799999999999999,0.00924,0.00093,0.009170000000000001,0.00988,0.00107,0.00155,0.00147,0.009859999999999999
chrX,10000000,10100000,0.0009599999999999999,0.009309999999999999,0.00037999999999999997,0.00946,0.0098,0.0013800000000000002,0.00257,0.00202,0.009770000000000001
chrX,10100000,10200000,0.0009699999999999999,0.007940000000000001,0.00025,0.00834,0.00825,0.00207,0.00195,0.00196,0.00825
chrX,10200000,10300000,0.0008900000000000001,0.0118,0.0037700000000000003,0.01013,0.0107,0.0008300000000000001,0.00151,0.00123,0.01072
chrX,10300000,10400000,0.00033999999999999997,0.00939,0.0012,0.00954,0.008459999999999999,0.00085,0.0012900000000000001,0.00103,0.00839
chrX,10400000,10500000,0.0008,0.00733,0.0,0.00765,0.007379999999999999,0.00198,0.0024100000000000002,0.0018899999999999998,0.007370000000000001
chrX,10500000,10600000,0.00074,0.006690000000000001,0.0,0.00674,0.00672,0.00109,0.00155,0.00116,0.00672
chrX,10600000,10700000,0.00064,0.0063,0.0,0.00659,0.006640000000000001,0.0011099999999999999,0.0015300000000000001,0.0013599999999999999,0.00662
chrX,10700000,10800000,0.00061,0.006220000000000001,0.0,0.0060799999999999995,0.0066,0.00088,0.00095,0.0008699999999999999,0.00659
chrX,10800000,10900000,0.0006900000000000001,0.00576,0.0,0.00576,0.00588,0.0013,0.00144,0.00115,0.00588
chrX,10900000,11000000,0.0007,0.004520000000000001,0.0,0.0045,0.00485,0.00043,0.00108,0.00086,0.00484
chrX,11000000,11100000,0.00053,0.00514,0.0,0.0050100000000000006,0.00536,0.0009599999999999999,0.0009,0.00086,0.00536
chrX,11100000,11200000,0.00029,0.00549,0.00033,0.00551,0.00577,0.0010199999999999999,0.0010199999999999999,0.0009199999999999999,0.00577
chrX,11200000,11300000,0.0005200000000000001,0.0036899999999999997,0.0008,0.0036899999999999997,0.00406,0.0011,0.00074,0.0006900000000000001,0.00406
chrX,11300000,11400000,0.00054,0.0048200000000000005,0.00053,0.00486,0.00532,0.00118,0.0007099999999999999,0.0006799999999999999,0.00532
chrX,11400000,11500000,0.00039,0.00642,0.00032,0.00583,0.00662,0.0008900000000000001,0.0013599999999999999,0.00132,0.0066099999999999996
chrX,11500000,11600000,0.00059,0.0069700000000000005,0.00072,0.00734,0.00778,0.0013599999999999999,0.00148,0.00131,0.00778
chrX,11600000,11700000,0.00078,0.00782,0.00078,0.008320000000000001,0.00835,0.00175,0.0017699999999999999,0.00151,0.00834
chrX,11700000,11800000,0.00044,0.00619,1e-05,0.00605,0.006509999999999999,0.00088,0.0010400000000000001,0.00088,0.0065
chrX,11800000,11900000,0.00037999999999999997,0.00683,4e-05,0.00704,0.0069700000000000005,0.0011300000000000001,0.00081,0.00074,0.00698
chrX,11900000,12000000,0.00023999999999999998,0.00435,0.0,0.00486,0.00483,0.00037999999999999997,0.00065,0.00065,0.00483
chrX,12000000,12100000,0.00027,0.00402,0.0,0.0044399999999999995,0.00454,0.00058,0.00151,0.0010400000000000001,0.00455
chrX,12100000,12200000,0.00033,0.0053,0.0,0.00517,0.005679999999999999,0.00035,0.00036,0.00055,0.005679999999999999
chrX,12200000,12300000,0.00021,0.00392,0.0,0.00386,0.004079999999999999,0.00045,0.00056,0.0005200000000000001,0.00406
chrX,12300000,12400000,0.00028,0.0050100000000000006,0.0,0.00515,0.0058,0.0003,0.0008900000000000001,0.0008300000000000001,0.0058200000000000005
chrX,12400000,12500000,0.0005099999999999999,0.00465,1e-05,0.00451,0.00479,0.00108,0.00114,0.00098,0.00479
chrX,12500000,12600000,0.00018,0.00615,0.0,0.00607,0.006529999999999999,0.00098,0.00062,0.00056,0.006509999999999999
chrX,12600000,12700000,0.00037,0.00476,2e-05,0.00506,0.00527,0.0005200000000000001,0.00054,0.0005099999999999999,0.00526
chrX,12700000,12800000,0.00013000000000000002,0.0031100000000000004,0.0,0.0029,0.0033399999999999997,0.00021,0.00031,0.00028,0.00331
chrX,12800000,12900000,0.00018999999999999998,0.004,1e-05,0.00392,0.004370000000000001,0.00031,0.00058,0.0005099999999999999,0.004370000000000001
chrX,12900000,13000000,2e-05,0.0058,1e-05,0.00577,0.00635,0.00118,0.00064,0.00057,0.00635
chrX,13000000,13100000,7e-05,0.005,0.0,0.00472,0.00483,0.0005200000000000001,0.0009,0.00072,0.00483
chrX,13100000,13200000,0.00036,0.00576,1e-05,0.005220000000000001,0.00601,0.0009,0.00095,0.0007700000000000001,0.00602
chrX,13200000,13300000,0.00045,0.00349,2e-05,0.00364,0.0036899999999999997,0.00041,0.0011,0.0009599999999999999,0.0036799999999999997
chrX,13300000,13400000,0.00039,0.0035700000000000003,0.0,0.00373,0.0039,0.00013000000000000002,0.0012900000000000001,0.00114,0.0039
chrX,13400000,13500000,0.0005099999999999999,0.00403,1e-05,0.0039,0.00405,0.0008900000000000001,0.0008,0.00063,0.00405
chrX,13500000,13600000,0.00033999999999999997,0.0059,0.00033,0.00607,0.00642,0.00107,0.0009,0.0008,0.006379999999999999
chrX,13600000,13700000,0.00027,0.00607,0.00037,0.00644,0.00656,0.0009,0.00085,0.00072,0.00655
chrX,13700000,13800000,0.00053,0.00675,0.00045999999999999996,0.0067599999999999995,0.00665,0.00099,0.0013,0.00117,0.00662
chrX,13800000,13900000,0.00016999999999999999,0.00414,0.00035,0.00455,0.004529999999999999,0.00036,0.00045,0.00044,0.004520000000000001
chrX,13900000,14000000,0.00016,0.0033399999999999997,0.00015,0.00351,0.00346,0.00018999999999999998,0.00025,0.0002,0.00346
chrX,14000000,14100000,0.00035,0.00364,0.00043,0.00351,0.00372,0.00088,0.00066,0.00055,0.0037
chrX,14100000,14200000,0.00045999999999999996,0.0040100000000000005,0.00056,0.0033200000000000005,0.0041600000000000005,0.00112,0.0007599999999999999,0.00066,0.0041600000000000005
chrX,14200000,14300000,0.00025,0.00321,0.00029,0.00314,0.00351,0.0004,0.00047999999999999996,0.00042,0.0035
chrX,14300000,14400000,0.00037999999999999997,0.00372,0.00057,0.0037,0.00415,0.0006900000000000001,0.0010400000000000001,0.00084,0.00414
chrX,14400000,14500000,7e-05,0.0029100000000000003,,0.00252,0.00293,0.00018999999999999998,0.00015,0.00011999999999999999,0.00293
chrX,14500000,14600000,0.00047999999999999996,0.0049700000000000005,0.0005200000000000001,0.0043100000000000005,0.00481,0.00066,0.00078,0.0007099999999999999,0.00483
chrX,14600000,14700000,0.0002,0.00322,0.00016,0.0028899999999999998,0.0035,5e-05,0.0006799999999999999,0.0005,0.00349
chrX,14700000,14800000,0.00013000000000000002,0.0032,5e-05,0.00296,0.0032600000000000003,1e-05,0.00055,0.00042,0.00325
chrX,14800000,14900000,0.00044,0.00643,0.00075,0.00646,0.00673,0.00023999999999999998,0.0008,0.00066,0.00672
chrX,14900000,15000000,0.0005200000000000001,0.00646,0.0006799999999999999,0.006659999999999999,0.00643,0.00021,0.00148,0.00128,0.0064
chrX,15000000,15100000,0.00055,0.00698,0.00039,0.0072299999999999994,0.007370000000000001,0.0008300000000000001,0.0008900000000000001,0.00084,0.007359999999999999
chrX,15100000,15200000,0.00059,0.00717,0.00047999999999999996,0.00687,0.007390000000000001,0.0008,0.0006799999999999999,0.00063,0.007390000000000001
chrX,15200000,15300000,0.00055,0.0067,0.00061,0.006540000000000001,0.007209999999999999,0.0012,0.00105,0.00084,0.00718
chrX,15300000,15400000,0.00044,0.00524,0.00062,0.005529999999999999,0.00557,0.00016999999999999999,0.00099,0.0008699999999999999,0.005529999999999999
chrX,15400000,15500000,0.00047000000000000004,0.0042899999999999995,0.0003,0.00441,0.00464,9e-05,0.0012,0.0009699999999999999,0.00463
chrX,15500000,15600000,0.00045999999999999996,0.00454,0.00109,0.00479,0.00486,0.0010400000000000001,0.00088,0.00082,0.00485
chrX,15600000,15700000,0.00028,0.00361,0.00028,0.0036899999999999997,0.00374,0.0007700000000000001,0.00045999999999999996,0.00047000000000000004,0.00375
chrX,15700000,15800000,0.0006,0.00375,0.0008,0.0036299999999999995,0.0040100000000000005,0.00144,0.001,0.00088,0.0040100000000000005
chrX,15800000,15900000,0.00027,0.00336,0.00066,0.0032,0.0035,0.00042,0.00061,0.0005200000000000001,0.00351
chrX,15900000,16000000,0.0001,0.0028699999999999997,0.00037999999999999997,0.0028,0.0030600000000000002,0.00016,0.00021,0.00018999999999999998,0.00305
chrX,16000000,16100000,0.00016,0.00298,0.00022999999999999998,0.0030800000000000003,0.00329,5.9999999999999995e-05,0.00033,0.00025,0.00328
chrX,16100000,16200000,9e-05,0.0029100000000000003,0.00011,0.00267,0.00328,2e-05,0.00011999999999999999,0.00015,0.00328
chrX,16200000,16300000,9e-05,0.00297,0.00039,0.00299,0.0031100000000000004,2.9999999999999997e-05,0.00014,0.00015,0.0031100000000000004
chrX,16300000,16400000,0.00014,0.00359,0.00021,0.0034700000000000004,0.00373,7e-05,0.00027,0.00021,0.00372
chrX,16400000,16500000,0.00015,0.0030600000000000002,0.00026000000000000003,0.00318,0.0034700000000000004,4e-05,0.00018999999999999998,0.00016,0.0034700000000000004
chrX,16500000,16600000,0.00011999999999999999,0.00302,0.00021,0.0030399999999999997,0.00325,0.00029,0.00026000000000000003,0.00029,0.00325
chrX,16600000,16700000,1e-05,0.00317,0.00013000000000000002,0.0028699999999999997,0.0032700000000000003,0.00059,0.00027,0.00036,0.0032700000000000003
chrX,16700000,16800000,1e-05,0.00305,7e-05,0.0028399999999999996,0.0034200000000000003,0.00074,0.00037,0.00037,0.0034100000000000003
chrX,16800000,16900000,2e-05,0.00302,2.9999999999999997e-05,0.0028,0.00323,0.0006900000000000001,0.00033,0.00035,0.00323
chrX,16900000,17000000,1e-05,0.0027600000000000003,4e-05,0.00277,0.00301,0.00042,0.0003,0.00031,0.00301
chrX,17000000,17100000,1e-05,0.00296,4e-05,0.0027,0.0030399999999999997,0.00045999999999999996,0.00021,0.00023999999999999998,0.0030399999999999997
chrX,17100000,17200000,2e-05,0.00288,2.9999999999999997e-05,0.0028399999999999996,0.00316,0.00065,0.00043,0.00035,0.00315
chrX,17200000,17300000,2e-05,0.00336,5e-05,0.00264,0.00312,0.0007099999999999999,0.00049,0.00036,0.00312
chrX,17300000,17400000,0.0,0.00296,0.00011,0.00294,0.00317,0.00056,0.00039,0.00022,0.00317
chrX,17400000,17500000,2.9999999999999997e-05,0.0031,0.00039,0.00295,0.0033799999999999998,0.00047999999999999996,0.00028,0.0003,0.0034200000000000003
chrX,17500000,17600000,0.0,0.0026,4e-05,0.00236,0.00283,0.00053,0.00037,0.00026000000000000003,0.00282
chrX,17600000,17700000,0.0,0.00268,7e-05,0.00251,0.00266,0.00039,0.00025,0.00018999999999999998,0.00265
chrX,17700000,17800000,0.0,0.00262,5e-05,0.0027,0.00293,0.00045,0.00026000000000000003,0.00028,0.00293
chrX,17800000,17900000,2.9999999999999997e-05,0.00281,2.9999999999999997e-05,0.00248,0.00268,0.00031,0.00016,0.00014,0.00267
chrX,17900000,18000000,0.0,0.0031100000000000004,4e-05,0.00282,0.00307,0.00033999999999999997,0.00025,0.00021,0.0030600000000000002
chrX,18000000,18100000,2.9999999999999997e-05,0.00288,5.9999999999999995e-05,0.0029100000000000003,0.00301,0.00033,0.0002,0.00013000000000000002,0.00302
chrX,18100000,18200000,0.0,0.00294,4e-05,0.00282,0.0031899999999999997,0.00037999999999999997,0.00018,0.00011,0.00312
chrX,18200000,18300000,4e-05,0.00313,5.9999999999999995e-05,0.00303,0.00329,0.00049,0.00027,0.00031,0.00328
chrX,18300000,18400000,0.0,0.0034100000000000003,2e-05,0.00361,0.0038200000000000005,0.00033999999999999997,0.00022,0.00021,0.0038200000000000005
chrX,18400000,18500000,2.9999999999999997e-05,0.00322,1e-05,0.00307,0.0033799999999999998,0.00031,8e-05,4e-05,0.00335
chrX,18500000,18600000,4e-05,0.00329,0.00016,0.0032,0.0035399999999999997,0.00033999999999999997,0.00011,0.00016,0.0035299999999999997
chrX,18600000,18700000,2.9999999999999997e-05,0.0036,0.00011,0.0034100000000000003,0.00386,0.00045999999999999996,0.00016,0.00013000000000000002,0.00386
chrX,18700000,18800000,0.0003,0.00449,0.00037999999999999997,0.0046700000000000005,0.00491,0.00028,0.00015,5e-05,0.00492
chrX,18800000,18900000,0.00025,0.00375,0.00023999999999999998,0.00375,0.00414,0.00026000000000000003,0.00016999999999999999,9e-05,0.00414
chrX,18900000,19000000,0.00022,0.0029100000000000003,0.00044,0.003,0.0031899999999999997,0.00016999999999999999,0.00016,0.00011,0.0031899999999999997
chrX,19000000,19100000,5.9999999999999995e-05,0.00399,0.00053,0.004079999999999999,0.004370000000000001,0.00013000000000000002,0.00033999999999999997,0.00032,0.004370000000000001
chrX,19100000,19200000,2.9999999999999997e-05,0.00381,0.0003,0.0035600000000000002,0.00403,2.9999999999999997e-05,0.0003,0.00023999999999999998,0.00403
chrX,19200000,19300000,0.0,0.0038,0.00018,0.00366,0.0038,1e-05,0.00013000000000000002,0.00011999999999999999,0.00379
chrX,19300000,19400000,2e-05,0.00314,0.00031,0.00331,0.0034,5e-05,5.9999999999999995e-05,4e-05,0.0034
chrX,19400000,19500000,1e-05,0.00323,0.00023999999999999998,0.00321,0.00352,5e-05,0.0001,7e-05,0.00352
chrX,19500000,19600000,2.9999999999999997e-05,0.00321,0.00035,0.0029100000000000003,0.00325,5e-05,0.00011999999999999999,7e-05,0.00325
chrX,19600000,19700000,0.0,0.00295,0.00037,0.00288,0.00315,4e-05,2e-05,2e-05,0.00316
chrX,19700000,19800000,2e-05,0.0034799999999999996,0.00042,0.00352,0.0035299999999999997,1e-05,0.0001,8e-05,0.0035399999999999997
chrX,19800000,19900000,0.0001,0.0041600000000000005,0.00023999999999999998,0.0037799999999999995,0.00446,4e-05,0.00021,0.0002,0.0044399999999999995
chrX,19900000,20000000,0.00022,0.00385,0.00021,0.00346,0.00351,0.00039,0.00056,0.00049,0.00352
chrX,20000000,20100000,0.00025,0.004,0.00021,0.0035399999999999997,0.0036799999999999997,0.00057,0.00062,0.00054,0.0036799999999999997
chrX,20100000,20200000,0.00043,0.00564,0.00099,0.00562,0.00563,0.00079,0.0008900000000000001,0.0007700000000000001,0.00563
chrX,20200000,20300000,0.00045,0.0055,0.00072,0.0054,0.00551,0.00055,0.00118,0.0009,0.0055
chrX,20300000,20400000,0.00025,0.00587,0.00037,0.00599,0.00624,0.00085,0.00088,0.0006799999999999999,0.00624
